"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"1";"2023-07-14 19:31:01";"Workout A #1406";"82";"Clean and Jerk (Barbell)";"1";"50.0";"3";"";"";"";"";""
"1";"2023-07-14 19:31:01";"Workout A #1406";"82";"Deadlift (Barbell)";"1";"90.0";"5";"";"";"";"";""
"1";"2023-07-14 19:31:01";"Workout A #1406";"82";"Deadlift (Barbell)";"2";"130.0";"3";"";"";"";"";""
"1";"2023-07-14 19:31:01";"Workout A #1406";"82";"Deadlift (Barbell)";"3";"130.0";"2";"";"";"";"";""
"1";"2023-07-14 19:31:01";"Workout A #1406";"82";"Overhead Press (Barbell)";"1";"50.0";"5";"";"";"";"";""
"1";"2023-07-14 19:31:01";"Workout A #1406";"82";"Overhead Press (Barbell)";"2";"50.0";"4";"";"";"";"";""
"1";"2023-07-14 19:31:01";"Workout A #1406";"82";"Overhead Press (Barbell)";"3";"50.0";"5";"";"";"";"";""
"1";"2023-07-14 19:31:01";"Workout A #1406";"82";"Pull Up";"1";"0.0";"5";"";"";"";"";""
"1";"2023-07-14 19:31:01";"Workout A #1406";"82";"Pull Up";"2";"0.0";"5";"";"";"";"";""
"1";"2023-07-14 19:31:01";"Workout A #1406";"82";"Pull Up";"3";"0.0";"5";"";"";"";"";""
"2";"2023-07-14 21:18:31";"Workout #1407";"1692";"Front Squat (Barbell)";"1";"50.0";"5";"";"";"";"";"pluie"
"2";"2023-07-14 21:18:31";"Workout #1407";"1692";"Push Up";"1";"0.0";"10";"";"";"";"";"pluie"
"2";"2023-07-14 21:18:31";"Workout #1407";"1692";"Push Up";"2";"0.0";"10";"";"";"";"";"pluie"
"2";"2023-07-14 21:18:31";"Workout #1407";"1692";"Push Up";"3";"0.0";"10";"";"";"";"";"pluie"
"2";"2023-07-14 21:18:31";"Workout #1407";"1692";"Push Up";"4";"0.0";"10";"";"";"";"";"pluie"
"2";"2023-07-14 21:18:31";"Workout #1407";"1692";"Push Up";"5";"0.0";"5";"";"";"";"";"pluie"
"2";"2023-07-14 21:18:31";"Workout #1407";"1692";"Push Up";"6";"0.0";"5";"";"";"";"";"pluie"
"2";"2023-07-14 21:18:31";"Workout #1407";"1692";"Squat (Bodyweight)";"1";"0.0";"10";"";"";"";"";"pluie"
"2";"2023-07-14 21:18:31";"Workout #1407";"1692";"Squat (Bodyweight)";"2";"0.0";"10";"";"";"";"";"pluie"
"2";"2023-07-14 21:18:31";"Workout #1407";"1692";"Squat (Bodyweight)";"3";"0.0";"10";"";"";"";"";"pluie"
"2";"2023-07-14 21:18:31";"Workout #1407";"1692";"Squat (Bodyweight)";"4";"0.0";"10";"";"";"";"";"pluie"
"2";"2023-07-14 21:18:31";"Workout #1407";"1692";"Squat (Bodyweight)";"5";"0.0";"10";"";"";"";"";"pluie"
"2";"2023-07-14 21:18:31";"Workout #1407";"1692";"Squat (Bodyweight)";"6";"0.0";"10";"";"";"";"";"pluie"
"2";"2023-07-14 21:18:31";"Workout #1407";"1692";"Chin Up";"1";"0.0";"10";"";"";"";"";"pluie"
"2";"2023-07-14 21:18:31";"Workout #1407";"1692";"Chin Up";"2";"0.0";"10";"";"";"";"";"pluie"
"2";"2023-07-14 21:18:31";"Workout #1407";"1692";"Chin Up";"3";"0.0";"8";"";"";"";"";"pluie"
"2";"2023-07-14 21:18:31";"Workout #1407";"1692";"Chin Up";"4";"0.0";"5";"";"";"";"";"pluie"
"2";"2023-07-14 21:18:31";"Workout #1407";"1692";"Chin Up";"5";"0.0";"3";"";"";"";"";"pluie"
"2";"2023-07-14 21:18:31";"Workout #1407";"1692";"Chin Up";"6";"0.0";"3";"";"";"";"";"pluie"
"3";"2023-07-16 13:32:29";"Workout A #1408";"2528";"Clean and Jerk (Barbell)";"1";"50.0";"3";"";"";"";"";""
"3";"2023-07-16 13:32:29";"Workout A #1408";"2528";"Deadlift (Barbell)";"1";"90.0";"5";"";"";"";"";""
"3";"2023-07-16 13:32:29";"Workout A #1408";"2528";"Deadlift (Barbell)";"2";"130.0";"3";"";"";"";"";""
"3";"2023-07-16 13:32:29";"Workout A #1408";"2528";"Deadlift (Barbell)";"3";"140.0";"1";"";"";"";"";""
"3";"2023-07-16 13:32:29";"Workout A #1408";"2528";"Overhead Press (Barbell)";"1";"50.0";"5";"";"";"";"";""
"3";"2023-07-16 13:32:29";"Workout A #1408";"2528";"Overhead Press (Barbell)";"2";"50.0";"2";"";"";"";"";""
"3";"2023-07-16 13:32:29";"Workout A #1408";"2528";"Overhead Press (Barbell)";"3";"50.0";"1";"";"";"";"";""
"3";"2023-07-16 13:32:29";"Workout A #1408";"2528";"Pull Up";"1";"0.0";"5";"";"";"";"";""
"3";"2023-07-16 13:32:29";"Workout A #1408";"2528";"Pull Up";"2";"0.0";"5";"";"";"";"";""
"3";"2023-07-16 13:32:29";"Workout A #1408";"2528";"Pull Up";"3";"0.0";"4";"";"";"";"";""
"3";"2023-07-16 13:32:29";"Workout A #1408";"2528";"Bicep Curl (Barbell)";"1";"20.0";"15";"";"";"";"";""
"4";"2023-07-19 21:30:51";"Workout B #1409";"1742";"Squat (Barbell)";"W";"50.0";"5";"";"";"";"";""
"4";"2023-07-19 21:30:51";"Workout B #1409";"1742";"Squat (Barbell)";"1";"90.0";"5";"";"";"";"";""
"4";"2023-07-19 21:30:51";"Workout B #1409";"1742";"Squat (Barbell)";"2";"100.0";"5";"";"";"";"";""
"4";"2023-07-19 21:30:51";"Workout B #1409";"1742";"Squat (Barbell)";"3";"100.0";"5";"";"";"";"";""
"4";"2023-07-19 21:30:51";"Workout B #1409";"1742";"Bench Press (Barbell)";"W";"50.0";"5";"";"";"";"";""
"4";"2023-07-19 21:30:51";"Workout B #1409";"1742";"Bench Press (Barbell)";"1";"70.0";"5";"";"";"";"";""
"4";"2023-07-19 21:30:51";"Workout B #1409";"1742";"Bench Press (Barbell)";"2";"90.0";"2";"";"";"";"";""
"4";"2023-07-19 21:30:51";"Workout B #1409";"1742";"Bench Press (Barbell)";"3";"50.0";"10";"";"";"";"";""
"4";"2023-07-19 21:30:51";"Workout B #1409";"1742";"Bench Press (Barbell)";"4";"50.0";"8";"";"";"";"";""
"4";"2023-07-19 21:30:51";"Workout B #1409";"1742";"Bent Over One Arm Row (Dumbbell)";"1";"32.0";"10";"";"";"";"";""
"4";"2023-07-19 21:30:51";"Workout B #1409";"1742";"Bent Over One Arm Row (Dumbbell)";"2";"32.0";"10";"";"";"";"";""
"5";"2023-08-26 19:40:38";"Random #1410";"1985";"Overhead Press (Barbell)";"1";"50.0";"5";"";"";"";"";""
"5";"2023-08-26 19:40:38";"Random #1410";"1985";"Overhead Press (Barbell)";"2";"50.0";"5";"";"";"";"";""
"5";"2023-08-26 19:40:38";"Random #1410";"1985";"Overhead Press (Barbell)";"3";"50.0";"5";"";"";"";"";""
"5";"2023-08-26 19:40:38";"Random #1410";"1985";"Bent Over Row (Barbell)";"1";"70.0";"5";"";"";"";"";""
