date,weight_kg
2018-02-12,92.9
2018-02-13,92.9
2018-02-14,92.9
2018-02-15,92.9
2018-02-16,92.9
2018-02-17,92.8
2018-02-18,92.8
2018-02-19,92.7
2018-02-20,92.7
2018-02-21,92.6
2018-02-22,92.6
2018-02-23,92.5
2018-02-24,92.4
2018-02-25,92.3
2018-02-26,92.2
2018-02-27,92.1
2018-02-28,92.0
2018-03-01,91.9
2018-03-02,91.7
2018-03-03,91.6
2018-03-04,91.4
2018-03-05,91.2
2018-03-06,91.0
2018-03-07,90.8
2018-03-08,90.6
2018-03-09,90.4
2018-03-10,90.1
2018-03-11,89.9
2018-03-12,89.7
2018-03-13,89.5
2018-03-14,89.3
2018-03-15,89.1
2018-03-16,88.9
2018-03-17,88.7
2018-03-18,88.5
2018-03-19,88.4
2018-03-20,88.2
2018-03-21,88.1
2018-03-22,88.0
2018-03-23,87.9
2018-03-24,87.8
2018-03-25,87.7
2018-03-26,87.6
2018-03-27,87.5
2018-03-28,87.4
2018-03-29,87.3
2018-03-30,87.3
2018-03-31,87.2
2018-04-01,87.1
2018-04-02,87.1
2018-04-03,87.0
2018-04-04,87.0
2018-04-05,86.9
2018-04-06,86.9
2018-04-07,86.8
2018-04-08,86.8
2018-04-09,86.7
2018-04-10,86.7
2018-04-11,86.6
2018-04-12,86.6
2018-04-13,86.6
2018-04-14,86.5
2018-04-15,86.5
2018-04-16,86.4
2018-04-17,86.4
2018-04-18,86.3
2018-04-19,86.3
2018-04-20,86.3
2018-04-21,86.2
2018-04-22,86.2
2018-04-23,86.2
2018-04-24,86.1
2018-04-25,86.1
2018-04-26,86.0
2018-04-27,86.0
2018-04-28,86.0
2018-04-29,85.9
2018-04-30,85.9
2018-05-01,85.9
2018-05-02,85.8
2018-05-03,85.8
2018-05-04,85.8
2018-05-05,85.7
2018-05-06,85.7
2018-05-07,85.7
2018-05-08,85.6
2018-05-09,85.6
2018-05-10,85.6
2018-05-11,85.5
2018-05-12,85.5
2018-05-13,85.5
2018-05-14,85.4
2018-05-15,85.4
2018-05-16,85.4
2018-05-17,85.4
2018-05-18,85.3
2018-05-19,85.3
2018-05-20,85.3
2018-05-21,85.3
2018-05-22,85.3
2018-05-23,85.2
2018-05-24,85.2
2018-05-25,85.2
2018-05-26,85.2
2018-05-27,85.2
2018-05-28,85.2
2018-05-29,85.2
2018-05-30,85.2
2018-05-31,85.2
2018-06-01,85.2
2018-06-02,85.2
2018-06-03,85.2
2018-06-04,85.2
2018-06-05,85.2
2018-06-06,85.2
2018-06-07,85.2
