Time,Date,S,H,P,T,L,U,C,X
1293836400.0,2011/01/01,0,0,0,0,0,0,0,0
1294441200.0,2011/01/08,0,0,0,0,0,0,0,0
1295046000.0,2011/01/15,0,0,0,0,0,0,0,0
1295650800.0,2011/01/22,0,0,0,0,0,0,0,0
1296255600.0,2011/01/29,0,0,0,0,0,0,0,0
1296860400.0,2011/02/05,0,0,0,0,0,0,0,0
1297465200.0,2011/02/12,0,0,0,0,0,0,0,0
1298070000.0,2011/02/19,0,0,0,0,0,0,0,0
1298674800.0,2011/02/26,0,0,0,0,0,0,0,0
1299279600.0,2011/03/05,0,0,0,0,0,0,0,0
1299884400.0,2011/03/12,0,0,0,0,0,0,0,0
1300489200.0,2011/03/19,0,0,0,0,0,0,0,0
1301094000.0,2011/03/26,0,0,0,0,0,0,0,0
1301698800.0,2011/04/02,0,0,0,0,0,0,0,0
1302303600.0,2011/04/09,0,0,0,0,0,0,0,0
1302908400.0,2011/04/16,0,0,0,0,0,0,0,0
1303513200.0,2011/04/23,0,0,0,0,0,0,0,0
1304118000.0,2011/04/30,0,0,0,0,0,0,0,0
1304722800.0,2011/05/07,0,0,0,0,0,0,0,0
1305327600.0,2011/05/14,0,0,0,0,0,0,0,0
1305932400.0,2011/05/21,0,0,0,0,0,0,0,0
1306537200.0,2011/05/28,0,0,0,0,0,0,0,0
1307142000.0,2011/06/04,0,0,0,0,0,0,0,0
1307746800.0,2011/06/11,0,0,0,0,0,0,0,0
1308351600.0,2011/06/18,0,0,0,0,0,0,0,0
1308956400.0,2011/06/25,0,0,0,0,0,0,0,0
1309561200.0,2011/07/02,0,0,0,0,0,0,0,0
1310166000.0,2011/07/09,0,0,0,0,0,0,0,0
1310770800.0,2011/07/16,0,0,0,0,0,0,0,0
1311375600.0,2011/07/23,0,0,0,0,0,0,0,0
1311980400.0,2011/07/30,0,0,0,0,0,0,0,0
1312585200.0,2011/08/06,0,0,0,0,0,0,0,0
1313190000.0,2011/08/13,0,0,0,0,0,0,0,0
1313794800.0,2011/08/20,0,0,0,0,0,0,0,0
1314399600.0,2011/08/27,0,0,0,0,0,0,0,0
1315004400.0,2011/09/03,0,0,0,0,0,0,0,0
1315609200.0,2011/09/10,0,0,0,0,0,0,0,0
1316214000.0,2011/09/17,0,0,0,0,0,0,0,0
1316818800.0,2011/09/24,0,0,0,0,0,0,0,0
1317423600.0,2011/10/01,0,0,0,0,0,0,0,0
1318028400.0,2011/10/08,0,0,0,0,0,0,0,0
1318633200.0,2011/10/15,0,0,0,0,0,0,0,0
1319238000.0,2011/10/22,0,0,0,0,0,0,0,0
1319842800.0,2011/10/29,0,0,0,0,0,0,0,0
1320447600.0,2011/11/05,0,0,0,0,0,0,0,0
1321052400.0,2011/11/12,0,0,0,0,0,0,0,0
1321657200.0,2011/11/19,0,0,0,0,0,0,0,0
1322262000.0,2011/11/26,0,0,0,0,0,0,0,0
1322866800.0,2011/12/03,0,0,0,0,0,0,0,0
1323471600.0,2011/12/10,0,0,0,0,0,0,0,0
1324076400.0,2011/12/17,0,0,0,0,0,0,0,0
1324681200.0,2011/12/24,0,0,0,0,0,0,0,0
1325286000.0,2011/12/31,0,0,0,0,0,0,0,0
1325890800.0,2012/01/07,0,0,0,0,0,0,0,0
1326495600.0,2012/01/14,0,0,0,0,0,0,0,0
1327100400.0,2012/01/21,0,0,0,0,0,0,0,0
1327705200.0,2012/01/28,0,0,0,0,0,0,0,0
1328310000.0,2012/02/04,0,0,0,0,0,0,0,0
1328914800.0,2012/02/11,0,0,0,0,0,0,0,0
1329519600.0,2012/02/18,0,0,0,0,0,0,0,0
1330124400.0,2012/02/25,0,0,0,0,0,0,0,0
1330729200.0,2012/03/03,0,0,0,0,0,0,0,0
1331334000.0,2012/03/10,0,0,0,0,0,0,0,0
1331938800.0,2012/03/17,0,0,0,0,0,0,0,0
1332543600.0,2012/03/24,0,0,0,0,0,0,0,0
1333148400.0,2012/03/31,0,0,0,0,0,0,0,0
1333753200.0,2012/04/07,0,0,0,0,0,0,0,0
1334358000.0,2012/04/14,0,0,0,0,0,0,0,0
1334962800.0,2012/04/21,0,0,0,0,0,0,0,0
1335567600.0,2012/04/28,0,0,0,0,0,0,0,0
1336172400.0,2012/05/05,0,0,0,0,0,0,0,0
1336777200.0,2012/05/12,0,0,0,0,0,0,0,0
1337382000.0,2012/05/19,0,0,0,0,0,0,0,0
1337986800.0,2012/05/26,0,0,0,0,0,0,0,0
1338591600.0,2012/06/02,0,0,0,0,0,0,0,0
1339196400.0,2012/06/09,0,0,0,0,0,0,0,0
1339801200.0,2012/06/16,0,0,0,0,0,0,0,0
1340406000.0,2012/06/23,0,0,0,0,0,0,0,0
1341010800.0,2012/06/30,0,0,0,0,0,0,0,0
1341615600.0,2012/07/07,0,0,0,0,0,0,0,0
1342220400.0,2012/07/14,0,0,0,0,0,0,0,0
1342825200.0,2012/07/21,0,0,0,0,0,0,0,0
1343430000.0,2012/07/28,0,0,0,0,0,0,0,0
1344034800.0,2012/08/04,0,0,0,0,0,0,0,0
1344639600.0,2012/08/11,0,0,0,0,0,0,0,0
1345244400.0,2012/08/18,0,0,0,0,0,0,0,0
1345849200.0,2012/08/25,0,0,0,0,0,0,0,0
1346454000.0,2012/09/01,0,0,0,0,0,0,0,0
1347058800.0,2012/09/08,0,0,0,0,0,0,0,0
1347663600.0,2012/09/15,0,0,0,0,0,0,0,0
1348268400.0,2012/09/22,0,0,0,0,0,0,0,0
1348873200.0,2012/09/29,0,0,0,0,0,0,0,0
1349478000.0,2012/10/06,0,0,0,0,0,0,0,0
1350082800.0,2012/10/13,0,0,0,0,0,0,0,0
1350687600.0,2012/10/20,0,0,0,0,0,0,0,0
1351292400.0,2012/10/27,0,0,0,0,0,0,0,0
1351897200.0,2012/11/03,0,0,0,0,0,0,0,0
1352502000.0,2012/11/10,0,0,0,0,0,0,0,0
1353106800.0,2012/11/17,0,0,0,0,0,0,0,0
1353711600.0,2012/11/24,0,0,0,0,0,0,0,0
1354316400.0,2012/12/01,0,0,0,0,0,0,0,0
1354921200.0,2012/12/08,0,0,0,0,0,0,0,0
